School Year,District/LEA,SchoolName,SubjectArea,Subject,Percent Proficient
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),L,9th Grade Language Arts,69.2%
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),L,10th Grade Language Arts,74.8%
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),L,11th Grade Language Arts,63.4%
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),M,Secondary Math I,48.0%
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),M,Secondary Math II,52.6%
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),M,Secondary Math III,68.5%
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),S,Earth Science,44.9%
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),S,Biology,66.2%
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),S,Chemistry,63.5%
2015,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),S,Physics,46.5%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,L,3rd Grade Language Arts,30-39%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,L,4th Grade Language Arts,11.9%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,L,5th Grade Language Arts,11-19%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,L,6th Grade Language Arts,11-19%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,L,7th Grade Language Arts,40-49%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,L,8th Grade Language Arts,20-29%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,M,3rd Grade Math,30-39%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,M,4th Grade Math,7.0%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,M,5th Grade Math,11-19%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,M,6th Grade Math,11-19%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,M,7th Grade Math,20-29%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,M,8th Grade Math,30-39%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,S,4th Grade Science,7.0%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,S,5th Grade Science,20-29%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,S,6th Grade Science,20-29%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,S,7th Grade Science,11-19%
2015,ALIANZA ACADEMY,ALIANZA ACADEMY,S,8th Grade Science,30-39%
2015,ALPINE DISTRICT,ALPINE SCHOOL,L,3rd Grade Language Arts,71.6%
2015,ALPINE DISTRICT,ASPEN SCHOOL,L,3rd Grade Language Arts,40.0%
2015,ALPINE DISTRICT,BARRATT SCHOOL,L,3rd Grade Language Arts,51.4%
2015,ALPINE DISTRICT,BONNEVILLE SCHOOL,L,3rd Grade Language Arts,50.5%
2015,ALPINE DISTRICT,CASCADE SCHOOL,L,3rd Grade Language Arts,37.9%
2015,ALPINE DISTRICT,CEDAR RIDGE SCHOOL,L,3rd Grade Language Arts,56.8%
2015,ALPINE DISTRICT,CEDAR VALLEY SCHOOL,L,3rd Grade Language Arts,?20%
2015,ALPINE DISTRICT,CENTRAL SCHOOL,L,3rd Grade Language Arts,49.3%
2015,ALPINE DISTRICT,CHERRY HILL SCHOOL,L,3rd Grade Language Arts,43.5%
2015,ALPINE DISTRICT,EAGLECREST SCHOOL,L,3rd Grade Language Arts,61.4%
2015,ALPINE DISTRICT,FORBES SCHOOL,L,3rd Grade Language Arts,53.2%
2015,ALPINE DISTRICT,GENEVA SCHOOL,L,3rd Grade Language Arts,40.7%
2015,ALPINE DISTRICT,GREENWOOD SCHOOL,L,3rd Grade Language Arts,34.9%
2015,ALPINE DISTRICT,GROVECREST SCHOOL,L,3rd Grade Language Arts,60.9%
2015,ALPINE DISTRICT,HIGHLAND SCHOOL,L,3rd Grade Language Arts,74.5%
2015,ALPINE DISTRICT,HILLCREST SCHOOL,L,3rd Grade Language Arts,57.1%
2015,ALPINE DISTRICT,LEGACY SCHOOL,L,3rd Grade Language Arts,56.5%
2015,ALPINE DISTRICT,LEHI SCHOOL,L,3rd Grade Language Arts,52.3%
2015,ALPINE DISTRICT,ORCHARD SCHOOL,L,3rd Grade Language Arts,53.0%
2015,ALPINE DISTRICT,MEADOW SCHOOL,L,3rd Grade Language Arts,51.3%
2015,ALPINE DISTRICT,NORTHRIDGE SCHOOL,L,3rd Grade Language Arts,61.7%
2015,ALPINE DISTRICT,LINDON SCHOOL,L,3rd Grade Language Arts,38.4%
2015,ALPINE DISTRICT,OREM SCHOOL,L,3rd Grade Language Arts,29.5%
2015,ALPINE DISTRICT,SCERA PARK SCHOOL,L,3rd Grade Language Arts,42.1%
2015,ALPINE DISTRICT,MANILA SCHOOL,L,3rd Grade Language Arts,40.9%
2015,ALPINE DISTRICT,ROCKY MOUNTAIN SCHOOL,L,3rd Grade Language Arts,52.0%
2015,ALPINE DISTRICT,SEGO LILY SCHOOL,L,3rd Grade Language Arts,36.8%
2015,ALPINE DISTRICT,SHARON SCHOOL,L,3rd Grade Language Arts,32.7%
2015,ALPINE DISTRICT,SHELLEY SCHOOL,L,3rd Grade Language Arts,70.7%
2015,ALPINE DISTRICT,SUNCREST SCHOOL,L,3rd Grade Language Arts,26.3%
2015,ALPINE DISTRICT,VALLEY VIEW SCHOOL,L,3rd Grade Language Arts,55.4%
2015,ALPINE DISTRICT,VINEYARD SCHOOL,L,3rd Grade Language Arts,42.5%
2015,ALPINE DISTRICT,WESTMORE SCHOOL,L,3rd Grade Language Arts,56.3%
2015,ALPINE DISTRICT,WINDSOR SCHOOL,L,3rd Grade Language Arts,20.0%
2015,ALPINE DISTRICT,FOOTHILL SCHOOL,L,3rd Grade Language Arts,62.0%
2015,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,L,3rd Grade Language Arts,40.7%
2015,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,L,3rd Grade Language Arts,70.0%
2015,ALPINE DISTRICT,WESTFIELD SCHOOL,L,3rd Grade Language Arts,48.7%
2015,ALPINE DISTRICT,DEERFIELD SCHOOL,L,3rd Grade Language Arts,56.2%
2015,ALPINE DISTRICT,PONY EXPRESS SCHOOL,L,3rd Grade Language Arts,44.4%
2015,ALPINE DISTRICT,FREEDOM SCHOOL,L,3rd Grade Language Arts,52.6%
2015,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,L,3rd Grade Language Arts,39.8%
2015,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,L,3rd Grade Language Arts,62.4%
2015,ALPINE DISTRICT,FOX HOLLOW SCHOOL,L,3rd Grade Language Arts,44.4%
2015,ALPINE DISTRICT,HARVEST SCHOOL,L,3rd Grade Language Arts,60.0%
2015,ALPINE DISTRICT,RIDGELINE SCHOOL,L,3rd Grade Language Arts,58.6%
2015,ALPINE DISTRICT,ALPINE ONLINE SCHOOL,L,3rd Grade Language Arts,30-39%
2015,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,L,3rd Grade Language Arts,57.0%
2015,ALPINE DISTRICT,NORTH POINT SCHOOL,L,3rd Grade Language Arts,54.0%
2015,ALPINE DISTRICT,SAGE HILLS SCHOOL,L,3rd Grade Language Arts,32.7%
2015,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,L,3rd Grade Language Arts,29.5%
2015,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,L,3rd Grade Language Arts,55.3%
2015,ALPINE DISTRICT,RIVERVIEW SCHOOL,L,3rd Grade Language Arts,59.8%
2015,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,L,3rd Grade Language Arts,51.4%
2015,ALPINE DISTRICT,DRY CREEK SCHOOL,L,3rd Grade Language Arts,54.0%
2015,ALPINE DISTRICT,BLACK RIDGE SCHOOL,L,3rd Grade Language Arts,44.5%
2015,ALPINE DISTRICT,BLACK RIDGE SCHOOL,L,4th Grade Language Arts,44.9%
2015,ALPINE DISTRICT,DRY CREEK SCHOOL,L,4th Grade Language Arts,46.7%
2015,ALPINE DISTRICT,THUNDER RIDGE SCHOOL,L,4th Grade Language Arts,41.6%
2015,ALPINE DISTRICT,RIVERVIEW SCHOOL,L,4th Grade Language Arts,53.9%
2015,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,L,4th Grade Language Arts,56.4%
2015,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,L,4th Grade Language Arts,25.3%
2015,ALPINE DISTRICT,SAGE HILLS SCHOOL,L,4th Grade Language Arts,29.7%
2015,ALPINE DISTRICT,NORTH POINT SCHOOL,L,4th Grade Language Arts,36.9%
2015,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,L,4th Grade Language Arts,52.8%
2015,ALPINE DISTRICT,ALPINE ONLINE SCHOOL,L,4th Grade Language Arts,50-59%
2015,ALPINE DISTRICT,RIDGELINE SCHOOL,L,4th Grade Language Arts,47.6%
2015,ALPINE DISTRICT,HARVEST SCHOOL,L,4th Grade Language Arts,48.4%
2015,ALPINE DISTRICT,FOX HOLLOW SCHOOL,L,4th Grade Language Arts,46.1%
2015,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,L,4th Grade Language Arts,45.4%
2015,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,L,4th Grade Language Arts,30.1%
2015,ALPINE DISTRICT,FREEDOM SCHOOL,L,4th Grade Language Arts,41.3%
2015,ALPINE DISTRICT,PONY EXPRESS SCHOOL,L,4th Grade Language Arts,34.3%
2015,ALPINE DISTRICT,DEERFIELD SCHOOL,L,4th Grade Language Arts,50.0%
2015,ALPINE DISTRICT,WESTFIELD SCHOOL,L,4th Grade Language Arts,54.7%
2015,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,L,4th Grade Language Arts,46.4%
2015,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,L,4th Grade Language Arts,39.6%
2015,ALPINE DISTRICT,FOOTHILL SCHOOL,L,4th Grade Language Arts,63.6%
2015,ALPINE DISTRICT,WINDSOR SCHOOL,L,4th Grade Language Arts,43.1%
2015,ALPINE DISTRICT,WESTMORE SCHOOL,L,4th Grade Language Arts,39.6%
2015,ALPINE DISTRICT,VINEYARD SCHOOL,L,4th Grade Language Arts,33.3%
2015,ALPINE DISTRICT,VALLEY VIEW SCHOOL,L,4th Grade Language Arts,44.4%
2015,ALPINE DISTRICT,SUNCREST SCHOOL,L,4th Grade Language Arts,17.9%
2015,ALPINE DISTRICT,SHELLEY SCHOOL,L,4th Grade Language Arts,56.1%
2015,ALPINE DISTRICT,SHARON SCHOOL,L,4th Grade Language Arts,33.3%
